date,time,tradingsymbol,open,high,low,close,volume
2006-11-29,00:00:00,BANKNIFTY,6158.4,6202.1,6109.05,6127.65,0
2006-11-30,00:00:00,BANKNIFTY,6144.2,6227.3,6143.55,6198.3,0
2006-12-01,00:00:00,BANKNIFTY,6217.65,6341.15,6199.05,6330.75,0
2006-12-04,00:00:00,BANKNIFTY,6301.65,6374.55,6280.6,6294.1,0
2006-12-05,00:00:00,BANKNIFTY,6296.45,6340.0,6212.25,6235.15,0
2006-12-06,00:00:00,BANKNIFTY,6264.55,6305.5,6188.8,6213.85,0
2006-12-07,00:00:00,BANKNIFTY,6220.25,6284.15,6182.55,6259.5,0
2006-12-08,00:00:00,BANKNIFTY,6595.85,6595.85,6187.7,6234.55,0
2006-12-11,00:00:00,BANKNIFTY,6177.9,6177.9,5729.35,5790.6,0
2006-12-12,00:00:00,BANKNIFTY,5758.3,5812.05,5408.95,5536.3,0
2006-12-13,00:00:00,BANKNIFTY,5556.35,5741.65,5502.75,5720.35,0
2006-12-14,00:00:00,BANKNIFTY,5754.8,5877.4,5754.8,5849.75,0
2006-12-15,00:00:00,BANKNIFTY,5844.35,5966.3,5844.35,5958.2,0
2006-12-18,00:00:00,BANKNIFTY,5971.1,6022.2,5814.9,6012.05,0
2006-12-19,00:00:00,BANKNIFTY,6010.8,6010.8,5801.95,5867.45,0
2006-12-20,00:00:00,BANKNIFTY,5865.8,5947.65,5764.1,5797.2,0
2006-12-21,00:00:00,BANKNIFTY,5787.6,5810.95,5712.0,5777.9,0
2006-12-22,00:00:00,BANKNIFTY,5796.4,5829.45,5760.1,5790.4,0
2006-12-26,00:00:00,BANKNIFTY,5799.2,5914.4,5785.25,5904.15,0
2006-12-27,00:00:00,BANKNIFTY,5933.45,6057.55,5930.95,6009.6,0
2006-12-28,00:00:00,BANKNIFTY,6036.35,6060.85,5994.55,6027.8,0
2006-12-29,00:00:00,BANKNIFTY,6098.55,6098.55,5993.9,6008.75,0
2007-01-02,00:00:00,BANKNIFTY,6015.15,6067.05,6004.65,6039.55,0
2007-01-03,00:00:00,BANKNIFTY,6044.3,6084.5,6009.65,6070.25,0
2007-01-04,00:00:00,BANKNIFTY,6077.15,6122.4,5982.45,6008.45,0
2007-01-05,00:00:00,BANKNIFTY,6004.3,6101.8,5996.45,6049.0,0
2007-01-08,00:00:00,BANKNIFTY,6069.9,6069.9,5951.6,5968.35,0
2007-01-09,00:00:00,BANKNIFTY,5971.8,6000.75,5864.3,5875.3,0
2007-01-10,00:00:00,BANKNIFTY,5859.9,5894.4,5709.2,5723.05,0
2007-01-11,00:00:00,BANKNIFTY,5720.55,5816.5,5684.7,5748.75,0
2007-01-12,00:00:00,BANKNIFTY,5826.65,6184.6,5826.65,6157.95,0
2007-01-15,00:00:00,BANKNIFTY,6191.0,6221.4,6144.85,6164.8,0
2007-01-16,00:00:00,BANKNIFTY,6188.1,6212.1,6103.1,6157.4,0
2007-01-17,00:00:00,BANKNIFTY,6168.6,6247.05,6143.75,6215.2,0
2007-01-18,00:00:00,BANKNIFTY,6239.2,6292.9,6154.9,6189.5,0
2007-01-19,00:00:00,BANKNIFTY,6254.5,6254.75,6104.2,6184.9,0
2007-01-22,00:00:00,BANKNIFTY,6209.75,6224.1,6135.4,6175.45,0
