date,time,tradingsymbol,open,high,low,close,volume
2006-11-29,00:00:00,FINNIFTY,2372.94,2372.94,2372.94,2372.94,0
2006-11-30,00:00:00,FINNIFTY,2400.17,2400.17,2400.17,2400.17,0
2006-12-01,00:00:00,FINNIFTY,2440.73,2440.73,2440.73,2440.73,0
2006-12-04,00:00:00,FINNIFTY,2427.94,2427.94,2427.94,2427.94,0
2006-12-05,00:00:00,FINNIFTY,2407.4,2407.4,2407.4,2407.4,0
2006-12-06,00:00:00,FINNIFTY,2396.02,2396.02,2396.02,2396.02,0
2006-12-07,00:00:00,FINNIFTY,2408.03,2408.03,2408.03,2408.03,0
2006-12-08,00:00:00,FINNIFTY,2395.81,2395.81,2395.81,2395.81,0
2006-12-11,00:00:00,FINNIFTY,2252.54,2252.54,2252.54,2252.54,0
2006-12-12,00:00:00,FINNIFTY,2168.82,2168.82,2168.82,2168.82,0
2006-12-13,00:00:00,FINNIFTY,2225.15,2225.15,2225.15,2225.15,0
2006-12-14,00:00:00,FINNIFTY,2275.0,2275.0,2275.0,2275.0,0
2006-12-15,00:00:00,FINNIFTY,2314.48,2314.48,2314.48,2314.48,0
2006-12-18,00:00:00,FINNIFTY,2330.36,2330.36,2330.36,2330.36,0
2006-12-19,00:00:00,FINNIFTY,2279.29,2279.29,2279.29,2279.29,0
2006-12-20,00:00:00,FINNIFTY,2259.61,2259.61,2259.61,2259.61,0
2006-12-21,00:00:00,FINNIFTY,2264.27,2264.27,2264.27,2264.27,0
2006-12-22,00:00:00,FINNIFTY,2270.48,2270.48,2270.48,2270.48,0
2006-12-26,00:00:00,FINNIFTY,2318.37,2318.37,2318.37,2318.37,0
2006-12-27,00:00:00,FINNIFTY,2358.96,2358.96,2358.96,2358.96,0
2006-12-28,00:00:00,FINNIFTY,2367.21,2367.21,2367.21,2367.21,0
2006-12-29,00:00:00,FINNIFTY,2358.21,2358.21,2358.21,2358.21,0
2007-01-02,00:00:00,FINNIFTY,2366.94,2366.94,2366.94,2366.94,0
2007-01-03,00:00:00,FINNIFTY,2378.71,2378.71,2378.71,2378.71,0
2007-01-04,00:00:00,FINNIFTY,2353.84,2353.84,2353.84,2353.84,0
2007-01-05,00:00:00,FINNIFTY,2377.69,2377.69,2377.69,2377.69,0
2007-01-08,00:00:00,FINNIFTY,2341.42,2341.42,2341.42,2341.42,0
2007-01-09,00:00:00,FINNIFTY,2307.67,2307.67,2307.67,2307.67,0
2007-01-10,00:00:00,FINNIFTY,2249.81,2249.81,2249.81,2249.81,0
2007-01-11,00:00:00,FINNIFTY,2267.61,2267.61,2267.61,2267.61,0
2007-01-12,00:00:00,FINNIFTY,2409.36,2409.36,2409.36,2409.36,0
2007-01-15,00:00:00,FINNIFTY,2419.87,2419.87,2419.87,2419.87,0
2007-01-16,00:00:00,FINNIFTY,2416.26,2416.26,2416.26,2416.26,0
2007-01-17,00:00:00,FINNIFTY,2435.1,2435.1,2435.1,2435.1,0
2007-01-18,00:00:00,FINNIFTY,2431.85,2431.85,2431.85,2431.85,0
2007-01-19,00:00:00,FINNIFTY,2429.17,2429.17,2429.17,2429.17,0
2007-01-22,00:00:00,FINNIFTY,2431.85,2431.85,2431.85,2431.85,0
2007-01-23,00:00:00,FINNIFTY,2380.07,2380.07,2380.07,2380.07,0
2007-01-24,00:00:00,FINNIFTY,2411.73,2411.73,2411.73,2411.73,0
2007-01-25,00:00:00,FINNIFTY,2448.03,2448.03,2448.03,2448.03,0
2007-01-29,00:00:00,FINNIFTY,2412.08,2412.08,2412.08,2412.08,0
2007-01-31,00:00:00,FINNIFTY,2399.07,2399.07,2399.07,2399.07,0
2007-02-01,00:00:00,FINNIFTY,2450.08,2450.08,2450.08,2450.08,0
2007-02-02,00:00:00,FINNIFTY,2462.32,2462.32,2462.32,2462.32,0
2007-02-05,00:00:00,FINNIFTY,2497.94,2497.94,2497.94,2497.94,0
2007-02-06,00:00:00,FINNIFTY,2494.06,2494.06,2494.06,2494.06,0
2007-02-07,00:00:00,FINNIFTY,2520.56,2520.56,2520.56,2520.56,0
2007-02-08,00:00:00,FINNIFTY,2536.77,2536.77,2536.77,2536.77,0
2007-02-09,00:00:00,FINNIFTY,2521.19,2521.19,2521.19,2521.19,0
2007-02-12,00:00:00,FINNIFTY,2450.89,2450.89,2450.89,2450.89,0
2007-02-13,00:00:00,FINNIFTY,2408.31,2408.31,2408.31,2408.31,0
2007-02-14,00:00:00,FINNIFTY,2323.46,2323.46,2323.46,2323.46,0
2007-02-15,00:00:00,FINNIFTY,2390.48,2390.48,2390.48,2390.48,0
2007-02-19,00:00:00,FINNIFTY,2413.62,2413.62,2413.62,2413.62,0
2007-02-20,00:00:00,FINNIFTY,2382.53,2382.53,2382.53,2382.53,0
2007-02-21,00:00:00,FINNIFTY,2379.42,2379.42,2379.42,2379.42,0
2007-02-22,00:00:00,FINNIFTY,2325.83,2325.83,2325.83,2325.83,0
2007-02-23,00:00:00,FINNIFTY,2253.34,2253.34,2253.34,2253.34,0
2007-02-26,00:00:00,FINNIFTY,2277.33,2277.33,2277.33,2277.33,0
2007-02-27,00:00:00,FINNIFTY,2249.92,2249.92,2249.92,2249.92,0
2007-02-28,00:00:00,FINNIFTY,2147.57,2147.57,2147.57,2147.57,0
2007-03-01,00:00:00,FINNIFTY,2194.46,2194.46,2194.46,2194.46,0
2007-03-02,00:00:00,FINNIFTY,2142.17,2142.17,2142.17,2142.17,0
2007-03-05,00:00:00,FINNIFTY,2063.9,2063.9,2063.9,2063.9,0
2007-03-06,00:00:00,FINNIFTY,2095.46,2095.46,2095.46,2095.46,0
2007-03-07,00:00:00,FINNIFTY,2063.85,2063.85,2063.85,2063.85,0
2007-03-08,00:00:00,FINNIFTY,2152.15,2152.15,2152.15,2152.15,0
2007-03-09,00:00:00,FINNIFTY,2148.1,2148.1,2148.1,2148.1,0
2007-03-12,00:00:00,FINNIFTY,2157.96,2157.96,2157.96,2157.96,0
2007-03-13,00:00:00,FINNIFTY,2186.33,2186.33,2186.33,2186.33,0
2007-03-14,00:00:00,FINNIFTY,2100.13,2100.13,2100.13,2100.13,0
2007-03-15,00:00:00,FINNIFTY,2065.8,2065.8,2065.8,2065.8,0
2007-03-16,00:00:00,FINNIFTY,2035.45,2035.45,2035.45,2035.45,0
2007-03-19,00:00:00,FINNIFTY,2074.19,2074.19,2074.19,2074.19,0
2007-03-20,00:00:00,FINNIFTY,2110.64,2110.64,2110.64,2110.64,0
2007-03-21,00:00:00,FINNIFTY,2170.65,2170.65,2170.65,2170.65,0
2007-03-22,00:00:00,FINNIFTY,2255.8,2255.8,2255.8,2255.8,0
2007-03-23,00:00:00,FINNIFTY,2250.96,2250.96,2250.96,2250.96,0
2007-03-26,00:00:00,FINNIFTY,2212.1,2212.1,2212.1,2212.1,0
2007-03-28,00:00:00,FINNIFTY,2153.14,2153.14,2153.14,2153.14,0
2007-03-29,00:00:00,FINNIFTY,2154.73,2154.73,2154.73,2154.73,0
2007-03-30,00:00:00,FINNIFTY,2165.14,2165.14,2165.14,2165.14,0
2007-04-02,00:00:00,FINNIFTY,2032.84,2032.84,2032.84,2032.84,0
2007-04-03,00:00:00,FINNIFTY,2035.07,2035.07,2035.07,2035.07,0
2007-04-04,00:00:00,FINNIFTY,2064.63,2064.63,2064.63,2064.63,0
2007-04-05,00:00:00,FINNIFTY,2104.94,2104.94,2104.94,2104.94,0
2007-04-09,00:00:00,FINNIFTY,2184.23,2184.23,2184.23,2184.23,0
2007-04-10,00:00:00,FINNIFTY,2206.46,2206.46,2206.46,2206.46,0
2007-04-11,00:00:00,FINNIFTY,2192.69,2192.69,2192.69,2192.69,0
2007-04-12,00:00:00,FINNIFTY,2162.59,2162.59,2162.59,2162.59,0
2007-04-13,00:00:00,FINNIFTY,2216.08,2216.08,2216.08,2216.08,0
2007-04-16,00:00:00,FINNIFTY,2246.1,2246.1,2246.1,2246.1,0
2007-04-17,00:00:00,FINNIFTY,2246.13,2246.13,2246.13,2246.13,0
2007-04-18,00:00:00,FINNIFTY,2268.01,2268.01,2268.01,2268.01,0
2007-04-19,00:00:00,FINNIFTY,2268.8,2268.8,2268.8,2268.8,0
2007-04-20,00:00:00,FINNIFTY,2314.29,2314.29,2314.29,2314.29,0
2007-04-23,00:00:00,FINNIFTY,2305.6,2305.6,2305.6,2305.6,0
2007-04-24,00:00:00,FINNIFTY,2397.86,2397.86,2397.86,2397.86,0
2007-04-25,00:00:00,FINNIFTY,2432.57,2432.57,2432.57,2432.57,0
2007-04-26,00:00:00,FINNIFTY,2422.92,2422.92,2422.92,2422.92,0
2007-04-27,00:00:00,FINNIFTY,2359.79,2359.79,2359.79,2359.79,0
2007-04-30,00:00:00,FINNIFTY,2308.46,2308.46,2308.46,2308.46,0
2007-05-03,00:00:00,FINNIFTY,2344.0,2344.0,2344.0,2344.0,0
2007-05-04,00:00:00,FINNIFTY,2336.06,2336.06,2336.06,2336.06,0
2007-05-07,00:00:00,FINNIFTY,2323.94,2323.94,2323.94,2323.94,0
2007-05-08,00:00:00,FINNIFTY,2296.28,2296.28,2296.28,2296.28,0
2007-05-09,00:00:00,FINNIFTY,2332.79,2332.79,2332.79,2332.79,0
2007-05-10,00:00:00,FINNIFTY,2350.5,2350.5,2350.5,2350.5,0
2007-05-11,00:00:00,FINNIFTY,2360.37,2360.37,2360.37,2360.37,0
2007-05-14,00:00:00,FINNIFTY,2426.08,2426.08,2426.08,2426.08,0
2007-05-15,00:00:00,FINNIFTY,2458.63,2458.63,2458.63,2458.63,0
2007-05-16,00:00:00,FINNIFTY,2526.55,2526.55,2526.55,2526.55,0
2007-05-17,00:00:00,FINNIFTY,2578.67,2578.67,2578.67,2578.67,0
2007-05-18,00:00:00,FINNIFTY,2594.85,2594.85,2594.85,2594.85,0
2007-05-21,00:00:00,FINNIFTY,2636.08,2636.08,2636.08,2636.08,0
2007-05-22,00:00:00,FINNIFTY,2642.1,2642.1,2642.1,2642.1,0
2007-05-23,00:00:00,FINNIFTY,2618.1,2618.1,2618.1,2618.1,0
2007-05-24,00:00:00,FINNIFTY,2578.92,2578.92,2578.92,2578.92,0
2007-05-25,00:00:00,FINNIFTY,2589.12,2589.12,2589.12,2589.12,0
2007-05-28,00:00:00,FINNIFTY,2627.76,2627.76,2627.76,2627.76,0
2007-05-29,00:00:00,FINNIFTY,2627.78,2627.78,2627.78,2627.78,0
2007-05-30,00:00:00,FINNIFTY,2608.51,2608.51,2608.51,2608.51,0
2007-05-31,00:00:00,FINNIFTY,2650.48,2650.48,2650.48,2650.48,0
2007-06-01,00:00:00,FINNIFTY,2673.62,2673.62,2673.62,2673.62,0
2007-06-04,00:00:00,FINNIFTY,2693.03,2693.03,2693.03,2693.03,0
2007-06-05,00:00:00,FINNIFTY,2718.32,2718.32,2718.32,2718.32,0
2007-06-06,00:00:00,FINNIFTY,2636.72,2636.72,2636.72,2636.72,0
2007-06-07,00:00:00,FINNIFTY,2610.02,2610.02,2610.02,2610.02,0
2007-06-08,00:00:00,FINNIFTY,2576.96,2576.96,2576.96,2576.96,0
2007-06-11,00:00:00,FINNIFTY,2575.25,2575.25,2575.25,2575.25,0
2007-06-12,00:00:00,FINNIFTY,2581.69,2581.69,2581.69,2581.69,0
2007-06-13,00:00:00,FINNIFTY,2552.12,2552.12,2552.12,2552.12,0
2007-06-14,00:00:00,FINNIFTY,2595.59,2595.59,2595.59,2595.59,0
2007-06-15,00:00:00,FINNIFTY,2605.65,2605.65,2605.65,2605.65,0
2007-06-18,00:00:00,FINNIFTY,2603.94,2603.94,2603.94,2603.94,0
2007-06-19,00:00:00,FINNIFTY,2668.18,2668.18,2668.18,2668.18,0
2007-06-20,00:00:00,FINNIFTY,2725.26,2725.26,2725.26,2725.26,0
2007-06-21,00:00:00,FINNIFTY,2739.28,2739.28,2739.28,2739.28,0
2007-06-22,00:00:00,FINNIFTY,2753.64,2753.64,2753.64,2753.64,0
2007-06-25,00:00:00,FINNIFTY,2760.26,2760.26,2760.26,2760.26,0
2007-06-26,00:00:00,FINNIFTY,2759.35,2759.35,2759.35,2759.35,0
2007-06-27,00:00:00,FINNIFTY,2733.16,2733.16,2733.16,2733.16,0
2007-06-28,00:00:00,FINNIFTY,2763.7,2763.7,2763.7,2763.7,0
2007-06-29,00:00:00,FINNIFTY,2839.51,2839.51,2839.51,2839.51,0
2007-07-02,00:00:00,FINNIFTY,2839.49,2839.49,2839.49,2839.49,0
2007-07-03,00:00:00,FINNIFTY,2883.38,2883.38,2883.38,2883.38,0
2007-07-04,00:00:00,FINNIFTY,2876.17,2876.17,2876.17,2876.17,0
2007-07-05,00:00:00,FINNIFTY,2865.69,2865.69,2865.69,2865.69,0
2007-07-06,00:00:00,FINNIFTY,2847.52,2847.52,2847.52,2847.52,0
2007-07-09,00:00:00,FINNIFTY,2868.0,2868.0,2868.0,2868.0,0
2007-07-10,00:00:00,FINNIFTY,2844.94,2844.94,2844.94,2844.94,0
2007-07-11,00:00:00,FINNIFTY,2831.8,2831.8,2831.8,2831.8,0
2007-07-12,00:00:00,FINNIFTY,2882.27,2882.27,2882.27,2882.27,0
2007-07-13,00:00:00,FINNIFTY,2907.38,2907.38,2907.38,2907.38,0
2007-07-16,00:00:00,FINNIFTY,2943.9,2943.9,2943.9,2943.9,0
2007-07-17,00:00:00,FINNIFTY,2927.94,2927.94,2927.94,2927.94,0
2007-07-18,00:00:00,FINNIFTY,2922.47,2922.47,2922.47,2922.47,0
2007-07-19,00:00:00,FINNIFTY,2946.9,2946.9,2946.9,2946.9,0
2007-07-20,00:00:00,FINNIFTY,2939.33,2939.33,2939.33,2939.33,0
2007-07-23,00:00:00,FINNIFTY,2936.18,2936.18,2936.18,2936.18,0
2007-07-24,00:00:00,FINNIFTY,2927.42,2927.42,2927.42,2927.42,0
2007-07-25,00:00:00,FINNIFTY,2910.07,2910.07,2910.07,2910.07,0
2007-07-26,00:00:00,FINNIFTY,2909.32,2909.32,2909.32,2909.32,0
2007-07-27,00:00:00,FINNIFTY,2782.12,2782.12,2782.12,2782.12,0
2007-07-30,00:00:00,FINNIFTY,2820.07,2820.07,2820.07,2820.07,0
2007-07-31,00:00:00,FINNIFTY,2887.85,2887.85,2887.85,2887.85,0
2007-08-01,00:00:00,FINNIFTY,2761.58,2761.58,2761.58,2761.58,0
2007-08-02,00:00:00,FINNIFTY,2788.21,2788.21,2788.21,2788.21,0
2007-08-03,00:00:00,FINNIFTY,2843.41,2843.41,2843.41,2843.41,0
2007-08-06,00:00:00,FINNIFTY,2812.78,2812.78,2812.78,2812.78,0
2007-08-07,00:00:00,FINNIFTY,2815.97,2815.97,2815.97,2815.97,0
2007-08-08,00:00:00,FINNIFTY,2885.06,2885.06,2885.06,2885.06,0
2007-08-09,00:00:00,FINNIFTY,2829.86,2829.86,2829.86,2829.86,0
2007-08-10,00:00:00,FINNIFTY,2755.67,2755.67,2755.67,2755.67,0
2007-08-13,00:00:00,FINNIFTY,2782.9,2782.9,2782.9,2782.9,0
2007-08-14,00:00:00,FINNIFTY,2778.89,2778.89,2778.89,2778.89,0
2007-08-16,00:00:00,FINNIFTY,2625.6,2625.6,2625.6,2625.6,0
2007-08-17,00:00:00,FINNIFTY,2606.23,2606.23,2606.23,2606.23,0
2007-08-20,00:00:00,FINNIFTY,2689.63,2689.63,2689.63,2689.63,0
2007-08-21,00:00:00,FINNIFTY,2587.23,2587.23,2587.23,2587.23,0
2007-08-22,00:00:00,FINNIFTY,2605.01,2605.01,2605.01,2605.01,0
2007-08-23,00:00:00,FINNIFTY,2569.17,2569.17,2569.17,2569.17,0
2007-08-24,00:00:00,FINNIFTY,2600.14,2600.14,2600.14,2600.14,0
2007-08-27,00:00:00,FINNIFTY,2718.25,2718.25,2718.25,2718.25,0
2007-08-28,00:00:00,FINNIFTY,2719.68,2719.68,2719.68,2719.68,0
2007-08-29,00:00:00,FINNIFTY,2721.74,2721.74,2721.74,2721.74,0
2007-08-30,00:00:00,FINNIFTY,2751.8,2751.8,2751.8,2751.8,0
2007-08-31,00:00:00,FINNIFTY,2798.25,2798.25,2798.25,2798.25,0
2007-09-03,00:00:00,FINNIFTY,2840.52,2840.52,2840.52,2840.52,0
2007-09-04,00:00:00,FINNIFTY,2861.18,2861.18,2861.18,2861.18,0
2007-09-05,00:00:00,FINNIFTY,2854.59,2854.59,2854.59,2854.59,0
2007-09-06,00:00:00,FINNIFTY,2898.87,2898.87,2898.87,2898.87,0
2007-09-07,00:00:00,FINNIFTY,2892.54,2892.54,2892.54,2892.54,0
2007-09-10,00:00:00,FINNIFTY,2893.12,2893.12,2893.12,2893.12,0
2007-09-11,00:00:00,FINNIFTY,2879.93,2879.93,2879.93,2879.93,0
2007-09-12,00:00:00,FINNIFTY,2888.63,2888.63,2888.63,2888.63,0
2007-09-13,00:00:00,FINNIFTY,2942.95,2942.95,2942.95,2942.95,0
2007-09-14,00:00:00,FINNIFTY,2951.4,2951.4,2951.4,2951.4,0
2007-09-17,00:00:00,FINNIFTY,2933.48,2933.48,2933.48,2933.48,0
2007-09-18,00:00:00,FINNIFTY,2993.17,2993.17,2993.17,2993.17,0
2007-09-19,00:00:00,FINNIFTY,3151.24,3151.24,3151.24,3151.24,0
2007-09-20,00:00:00,FINNIFTY,3149.69,3149.69,3149.69,3149.69,0
2007-09-21,00:00:00,FINNIFTY,3179.55,3179.55,3179.55,3179.55,0
2007-09-24,00:00:00,FINNIFTY,3250.08,3250.08,3250.08,3250.08,0
2007-09-25,00:00:00,FINNIFTY,3237.56,3237.56,3237.56,3237.56,0
2007-09-26,00:00:00,FINNIFTY,3280.75,3280.75,3280.75,3280.75,0
2007-09-27,00:00:00,FINNIFTY,3318.32,3318.32,3318.32,3318.32,0
2007-09-28,00:00:00,FINNIFTY,3399.3,3399.3,3399.3,3399.3,0
2007-10-01,00:00:00,FINNIFTY,3414.21,3414.21,3414.21,3414.21,0
2007-10-03,00:00:00,FINNIFTY,3472.79,3472.79,3472.79,3472.79,0
2007-10-04,00:00:00,FINNIFTY,3431.3,3431.3,3431.3,3431.3,0
2007-10-05,00:00:00,FINNIFTY,3341.6,3341.6,3341.6,3341.6,0
2007-10-08,00:00:00,FINNIFTY,3270.12,3270.12,3270.12,3270.12,0
2007-10-09,00:00:00,FINNIFTY,3398.39,3398.39,3398.39,3398.39,0
2007-10-10,00:00:00,FINNIFTY,3442.18,3442.18,3442.18,3442.18,0
2007-10-11,00:00:00,FINNIFTY,3513.29,3513.29,3513.29,3513.29,0
2007-10-12,00:00:00,FINNIFTY,3415.57,3415.57,3415.57,3415.57,0
2007-10-15,00:00:00,FINNIFTY,3553.07,3553.07,3553.07,3553.07,0
2007-10-16,00:00:00,FINNIFTY,3622.99,3622.99,3622.99,3622.99,0
2007-10-17,00:00:00,FINNIFTY,3478.52,3478.52,3478.52,3478.52,0
2007-10-18,00:00:00,FINNIFTY,3266.65,3266.65,3266.65,3266.65,0
2007-10-19,00:00:00,FINNIFTY,3195.79,3195.79,3195.79,3195.79,0
2007-10-22,00:00:00,FINNIFTY,3280.45,3280.45,3280.45,3280.45,0
2007-10-23,00:00:00,FINNIFTY,3466.54,3466.54,3466.54,3466.54,0
2007-10-24,00:00:00,FINNIFTY,3521.32,3521.32,3521.32,3521.32,0
2007-10-25,00:00:00,FINNIFTY,3597.0,3597.0,3597.0,3597.0,0
2007-10-26,00:00:00,FINNIFTY,3715.58,3715.58,3715.58,3715.58,0
2007-10-29,00:00:00,FINNIFTY,3869.07,3869.07,3869.07,3869.07,0
2007-10-30,00:00:00,FINNIFTY,3870.72,3870.72,3870.72,3870.72,0
2007-10-31,00:00:00,FINNIFTY,3902.66,3902.66,3902.66,3902.66,0
2007-11-01,00:00:00,FINNIFTY,3907.13,3907.13,3907.13,3907.13,0
2007-11-02,00:00:00,FINNIFTY,4028.05,4028.05,4028.05,4028.05,0
2007-11-05,00:00:00,FINNIFTY,3949.11,3949.11,3949.11,3949.11,0
2007-11-06,00:00:00,FINNIFTY,3883.54,3883.54,3883.54,3883.54,0
2007-11-07,00:00:00,FINNIFTY,3856.8,3856.8,3856.8,3856.8,0
2007-11-08,00:00:00,FINNIFTY,3800.67,3800.67,3800.67,3800.67,0
2007-11-09,00:00:00,FINNIFTY,3751.58,3751.58,3751.58,3751.58,0
2007-11-12,00:00:00,FINNIFTY,3766.5,3766.5,3766.5,3766.5,0
2007-11-13,00:00:00,FINNIFTY,3866.58,3866.58,3866.58,3866.58,0
2007-11-14,00:00:00,FINNIFTY,4114.3,4114.3,4114.3,4114.3,0
2007-11-15,00:00:00,FINNIFTY,4063.06,4063.06,4063.06,4063.06,0
2007-11-16,00:00:00,FINNIFTY,4064.88,4064.88,4064.88,4064.88,0
2007-11-19,00:00:00,FINNIFTY,4056.08,4056.08,4056.08,4056.08,0
2007-11-20,00:00:00,FINNIFTY,3981.27,3981.27,3981.27,3981.27,0
2007-11-21,00:00:00,FINNIFTY,3803.24,3803.24,3803.24,3803.24,0
2007-11-22,00:00:00,FINNIFTY,3881.44,3881.44,3881.44,3881.44,0
2007-11-23,00:00:00,FINNIFTY,3894.84,3894.84,3894.84,3894.84,0
2007-11-26,00:00:00,FINNIFTY,3959.92,3959.92,3959.92,3959.92,0
2007-11-27,00:00:00,FINNIFTY,3954.99,3954.99,3954.99,3954.99,0
2007-11-28,00:00:00,FINNIFTY,3909.93,3909.93,3909.93,3909.93,0
2007-11-29,00:00:00,FINNIFTY,3958.76,3958.76,3958.76,3958.76,0
2007-11-30,00:00:00,FINNIFTY,4047.28,4047.28,4047.28,4047.28,0
2007-12-03,00:00:00,FINNIFTY,4074.67,4074.67,4074.67,4074.67,0
2007-12-04,00:00:00,FINNIFTY,4067.76,4067.76,4067.76,4067.76,0
2007-12-05,00:00:00,FINNIFTY,4133.03,4133.03,4133.03,4133.03,0
2007-12-06,00:00:00,FINNIFTY,4150.87,4150.87,4150.87,4150.87,0
2007-12-07,00:00:00,FINNIFTY,4236.42,4236.42,4236.42,4236.42,0
2007-12-10,00:00:00,FINNIFTY,4247.85,4247.85,4247.85,4247.85,0
2007-12-11,00:00:00,FINNIFTY,4336.58,4336.58,4336.58,4336.58,0
2007-12-12,00:00:00,FINNIFTY,4381.28,4381.28,4381.28,4381.28,0
2007-12-13,00:00:00,FINNIFTY,4345.84,4345.84,4345.84,4345.84,0
2007-12-14,00:00:00,FINNIFTY,4297.66,4297.66,4297.66,4297.66,0
2007-12-17,00:00:00,FINNIFTY,4119.87,4119.87,4119.87,4119.87,0
2007-12-18,00:00:00,FINNIFTY,4079.66,4079.66,4079.66,4079.66,0
2007-12-19,00:00:00,FINNIFTY,4053.03,4053.03,4053.03,4053.03,0
2007-12-20,00:00:00,FINNIFTY,4036.68,4036.68,4036.68,4036.68,0
2007-12-24,00:00:00,FINNIFTY,4199.8,4199.8,4199.8,4199.8,0
2007-12-26,00:00:00,FINNIFTY,4289.18,4289.18,4289.18,4289.18,0
2007-12-27,00:00:00,FINNIFTY,4303.38,4303.38,4303.38,4303.38,0
2007-12-28,00:00:00,FINNIFTY,4309.66,4309.66,4309.66,4309.66,0
2007-12-31,00:00:00,FINNIFTY,4312.64,4312.64,4312.64,4312.64,0
2008-01-01,00:00:00,FINNIFTY,4329.07,4329.07,4329.07,4329.07,0
2008-01-02,00:00:00,FINNIFTY,4443.85,4443.85,4443.85,4443.85,0
2008-01-03,00:00:00,FINNIFTY,4396.72,4396.72,4396.72,4396.72,0
2008-01-04,00:00:00,FINNIFTY,4478.07,4478.07,4478.07,4478.07,0
2008-01-07,00:00:00,FINNIFTY,4523.47,4523.47,4523.47,4523.47,0
2008-01-08,00:00:00,FINNIFTY,4501.04,4501.04,4501.04,4501.04,0
2008-01-09,00:00:00,FINNIFTY,4524.1,4524.1,4524.1,4524.1,0
2008-01-10,00:00:00,FINNIFTY,4470.8,4470.8,4470.8,4470.8,0
2008-01-11,00:00:00,FINNIFTY,4561.47,4561.47,4561.47,4561.47,0
2008-01-14,00:00:00,FINNIFTY,4607.18,4607.18,4607.18,4607.18,0
2008-01-15,00:00:00,FINNIFTY,4495.77,4495.77,4495.77,4495.77,0
2008-01-16,00:00:00,FINNIFTY,4430.68,4430.68,4430.68,4430.68,0
2008-01-17,00:00:00,FINNIFTY,4387.42,4387.42,4387.42,4387.42,0
2008-01-18,00:00:00,FINNIFTY,4172.17,4172.17,4172.17,4172.17,0
2008-01-21,00:00:00,FINNIFTY,3829.2,3829.2,3829.2,3829.2,0
2008-01-22,00:00:00,FINNIFTY,3662.63,3662.63,3662.63,3662.63,0
2008-01-23,00:00:00,FINNIFTY,3884.58,3884.58,3884.58,3884.58,0
