date,time,tradingsymbol,open,high,low,close,volume
2006-11-29,00:00:00,UNITDSPR,154.8,159.8,154.2,158.06,2647890
2006-11-30,00:00:00,UNITDSPR,160.0,163.77,159.24,162.35,2826285
2006-12-01,00:00:00,UNITDSPR,163.4,164.39,161.2,162.12,1888870
2006-12-04,00:00:00,UNITDSPR,161.8,170.23,160.6,169.5,2878770
2006-12-05,00:00:00,UNITDSPR,170.65,174.86,166.4,167.54,3023185
2006-12-06,00:00:00,UNITDSPR,168.0,175.92,167.5,173.83,4411255
2006-12-07,00:00:00,UNITDSPR,176.6,178.32,170.62,173.56,3471700
2006-12-08,00:00:00,UNITDSPR,173.19,173.19,167.7,170.1,1750975
2006-12-11,00:00:00,UNITDSPR,170.0,170.38,163.0,166.99,1919310
2006-12-12,00:00:00,UNITDSPR,167.2,168.5,152.26,159.45,1757260
2006-12-13,00:00:00,UNITDSPR,160.0,162.4,155.18,158.37,1642475
2006-12-14,00:00:00,UNITDSPR,160.0,165.38,159.8,163.56,1754085
2006-12-15,00:00:00,UNITDSPR,165.6,171.0,162.4,170.37,2291305
2006-12-18,00:00:00,UNITDSPR,171.77,179.18,167.6,175.68,3911835
2006-12-19,00:00:00,UNITDSPR,175.98,176.96,172.0,175.53,3211345
2006-12-20,00:00:00,UNITDSPR,176.0,182.9,172.51,174.94,4170255
2006-12-21,00:00:00,UNITDSPR,176.7,180.8,172.76,176.43,5739095
2006-12-22,00:00:00,UNITDSPR,177.4,177.99,174.22,176.39,3060795
2006-12-26,00:00:00,UNITDSPR,174.3,178.61,174.3,175.38,884940
2006-12-27,00:00:00,UNITDSPR,176.98,177.2,174.4,175.25,771250
2006-12-28,00:00:00,UNITDSPR,176.02,178.28,174.2,174.8,1159530
2006-12-29,00:00:00,UNITDSPR,175.36,182.8,172.0,172.89,3160140
2007-01-02,00:00:00,UNITDSPR,173.92,177.1,172.23,173.76,2315470
2007-01-03,00:00:00,UNITDSPR,174.38,176.38,171.61,172.16,1420885
2007-01-04,00:00:00,UNITDSPR,173.28,173.98,171.0,171.53,804035
2007-01-05,00:00:00,UNITDSPR,171.74,174.0,170.4,171.09,919395
2007-01-08,00:00:00,UNITDSPR,171.01,171.27,167.41,167.91,674745
2007-01-09,00:00:00,UNITDSPR,169.1,169.1,163.8,165.78,771345
2007-01-10,00:00:00,UNITDSPR,164.0,165.6,159.02,159.65,979025
2007-01-11,00:00:00,UNITDSPR,160.8,164.0,158.61,162.65,852895
2007-01-12,00:00:00,UNITDSPR,164.58,167.57,162.03,162.81,2349535
2007-01-15,00:00:00,UNITDSPR,165.96,168.72,163.0,163.9,2020935
2007-01-16,00:00:00,UNITDSPR,165.7,166.0,163.04,163.85,846310
