Asset,Total_Return_Pct,Max_Drawdown_Pct,Win_Rate_Pct,Total_Trades,Avg_Win_Pct
MRF,219.48,-32.01,44.26,305,3.62
NIFTY,122.22,-25.9,43.02,172,4.05
BANKNIFTY,104.64,-41.82,45.81,155,4.91
LT,97.82,-25.32,50.17,299,2.05
HDFCBANK,80.35,-20.85,53.87,349,1.42
FINNIFTY,79.75,-38.13,48.21,168,4.02
MARUTI,63.07,-24.84,50.0,296,1.82
SBIN,58.93,-39.7,49.41,255,2.29
UNITDSPR,51.77,-45.66,49.49,295,2.37
ITC,49.0,-23.41,54.69,309,1.57
TATASTEEL,46.02,-38.55,49.28,278,2.46
TCS,38.51,-39.71,49.04,312,1.74
HINDUNILVR,35.73,-19.11,46.93,326,1.74
TITAN,25.98,-36.11,48.54,342,2.03
RELIANCE,24.63,-18.46,51.15,262,1.73
NTPC,16.67,-41.11,47.41,270,1.93
ONGC,13.29,-28.53,46.58,292,2.15
INFY,-80.31,-67.13,43.77,313,1.72
ICICIBANK,-85.93,-67.46,45.39,293,1.52
