Asset,Entry_Date,Exit_Date,Direction,Entry_Price,Exit_Price,PnL_Pct
ICICIBANK,2006-12-27,2006-12-29,LONG,162.59,162.09,-0.31
TITAN,2006-12-29,2007-01-08,LONG,43.0,43.92,2.14
TCS,2007-01-03,2007-01-05,LONG,315.13,310.91,-1.34
MARUTI,2007-01-03,2007-01-04,LONG,974.55,967.35,-0.74
MARUTI,2007-01-05,2007-01-08,LONG,934.95,897.95,-3.96
ONGC,2007-01-05,2007-01-08,LONG,138.0,140.45,1.78
ICICIBANK,2007-01-05,2007-01-08,LONG,165.47,164.78,-0.42
TCS,2007-01-08,2007-01-10,LONG,306.18,304.11,-0.68
ONGC,2007-01-09,2007-01-10,LONG,141.3,137.3,-2.83
ICICIBANK,2007-01-09,2007-01-10,LONG,165.88,160.7,-3.12
RELIANCE,2007-01-10,2007-01-11,LONG,151.7,154.5,1.85
INFY,2007-01-10,2007-01-12,LONG,270.56,277.93,2.72
TCS,2007-01-11,2007-01-17,LONG,314.51,321.16,2.11
ICICIBANK,2007-01-11,2007-01-15,LONG,162.25,174.15,7.33
ONGC,2007-01-12,2007-01-15,LONG,142.35,141.25,-0.77
RELIANCE,2007-01-12,2007-01-15,LONG,159.6,162.6,1.88
LT,2007-01-17,2007-01-19,LONG,345.59,348.72,0.91
RELIANCE,2007-01-18,2007-01-22,LONG,162.9,163.7,0.49
ONGC,2007-01-18,2007-01-19,LONG,141.05,138.2,-2.02
TITAN,2007-01-19,2007-01-23,LONG,46.8,46.58,-0.47
TATASTEEL,2007-01-24,2007-02-05,LONG,38.01,37.09,-2.42
LT,2007-01-25,2007-01-29,LONG,358.92,358.22,-0.2
UNITDSPR,2007-01-25,2007-02-01,LONG,176.98,183.91,3.92
ONGC,2007-01-25,2007-01-29,LONG,142.0,141.35,-0.46
MARUTI,2007-01-25,2007-01-29,LONG,948.05,936.85,-1.18
TCS,2007-01-25,2007-01-29,LONG,323.82,319.46,-1.35
LT,2007-01-31,2007-02-01,LONG,353.11,356.01,0.82
ICICIBANK,2007-01-31,2007-02-01,LONG,171.11,173.19,1.22
HDFCBANK,2007-01-31,2007-02-01,LONG,53.9,55.2,2.41
TITAN,2007-02-01,2007-02-05,LONG,49.43,51.19,3.56
NTPC,2007-02-02,2007-02-05,LONG,109.08,108.2,-0.81
HDFCBANK,2007-02-02,2007-02-05,LONG,55.3,55.2,-0.18
ICICIBANK,2007-02-02,2007-02-05,LONG,171.8,172.15,0.2
LT,2007-02-02,2007-02-05,LONG,373.4,376.18,0.74
UNITDSPR,2007-02-05,2007-02-06,LONG,190.79,189.22,-0.82
ICICIBANK,2007-02-07,2007-02-09,LONG,178.75,181.12,1.33
INFY,2007-02-07,2007-02-08,LONG,294.63,296.71,0.71
LT,2007-02-07,2007-02-08,LONG,387.19,390.39,0.83
NTPC,2007-02-08,2007-02-13,LONG,109.35,110.96,1.47
LT,2007-02-09,2007-02-14,LONG,381.37,358.68,-5.95
HDFCBANK,2007-02-13,2007-02-14,LONG,53.4,50.8,-4.87
INFY,2007-02-14,2007-02-19,LONG,285.58,297.01,4.0
NTPC,2007-02-15,2007-02-19,LONG,109.04,108.73,-0.28
LT,2007-02-15,2007-02-19,LONG,376.71,376.35,-0.1
TCS,2007-02-20,2007-02-21,LONG,319.9,316.04,-1.21
RELIANCE,2007-02-20,2007-02-21,LONG,168.55,167.6,-0.56
INFY,2007-02-21,2007-02-23,LONG,288.87,279.71,-3.17
TCS,2007-02-22,2007-02-23,LONG,318.61,314.44,-1.31
RELIANCE,2007-02-22,2007-02-28,LONG,168.25,161.15,-4.22
LT,2007-02-22,2007-02-23,LONG,367.47,358.03,-2.57
FINNIFTY,2007-03-12,2007-03-22,SHORT,2157.96,2255.8,-4.53
NIFTY,2007-03-12,2007-03-22,SHORT,3734.6,3875.9,-3.78
BANKNIFTY,2007-03-12,2007-03-22,SHORT,5180.1,5554.75,-7.23
TCS,2007-03-23,2007-03-28,LONG,317.11,295.64,-6.77
UNITDSPR,2007-03-29,2007-03-30,LONG,164.32,166.44,1.29
NTPC,2007-03-29,2007-04-02,LONG,111.46,112.61,1.03
HINDUNILVR,2007-03-30,2007-04-02,LONG,205.2,195.7,-4.63
LT,2007-04-02,2007-04-03,LONG,338.93,339.77,0.25
NTPC,2007-04-03,2007-04-09,LONG,117.93,121.95,3.41
HINDUNILVR,2007-04-05,2007-04-09,LONG,200.0,204.65,2.33
TATASTEEL,2007-04-09,2007-04-19,LONG,39.09,40.16,2.74
NTPC,2007-04-10,2007-04-13,LONG,120.84,120.58,-0.22
TITAN,2007-04-12,2007-04-13,LONG,47.35,47.52,0.36
TITAN,2007-04-16,2007-04-20,LONG,50.83,50.54,-0.57
LT,2007-04-16,2007-04-18,LONG,369.15,369.07,-0.02
RELIANCE,2007-04-17,2007-04-18,LONG,175.85,177.0,0.65
NTPC,2007-04-18,2007-04-19,LONG,124.13,122.53,-1.29
NIFTY,2007-04-20,2007-05-08,LONG,4083.55,4077.0,-0.16
TATASTEEL,2007-04-20,2007-04-25,LONG,42.56,45.78,7.57
UNITDSPR,2007-04-23,2007-04-24,LONG,171.91,170.85,-0.62
RELIANCE,2007-04-23,2007-04-24,LONG,185.2,188.6,1.84
FINNIFTY,2007-04-24,2007-05-07,LONG,2397.86,2323.94,-3.08
SBIN,2007-04-24,2007-04-25,LONG,106.92,107.54,0.58
HDFCBANK,2007-04-24,2007-04-27,LONG,50.7,50.7,0.0
ONGC,2007-04-24,2007-04-27,LONG,146.25,142.85,-2.32
ICICIBANK,2007-04-24,2007-04-27,LONG,172.75,170.03,-1.57
BANKNIFTY,2007-04-25,2007-05-07,LONG,5876.45,5610.7,-4.52
MRF,2007-04-25,2007-04-27,LONG,3688.25,3664.35,-0.65
ITC,2007-04-25,2007-04-27,LONG,46.4,46.05,-0.75
UNITDSPR,2007-04-26,2007-04-27,LONG,171.38,167.4,-2.32
HINDUNILVR,2007-04-26,2007-04-27,LONG,215.35,210.85,-2.09
RELIANCE,2007-04-26,2007-04-30,LONG,190.3,186.0,-2.26
UNITDSPR,2007-04-30,2007-05-07,LONG,172.57,173.81,0.72
ICICIBANK,2007-04-30,2007-05-07,LONG,157.43,153.41,-2.55
RELIANCE,2007-05-03,2007-05-07,LONG,193.75,191.4,-1.21
HDFCBANK,2007-05-03,2007-05-04,LONG,50.2,50.4,0.4
TCS,2007-05-04,2007-05-07,LONG,313.38,313.34,-0.01
SBIN,2007-05-09,2007-05-10,LONG,105.94,105.97,0.03
ONGC,2007-05-09,2007-05-10,LONG,140.2,137.0,-2.28
TITAN,2007-05-10,2007-05-11,LONG,49.9,49.89,-0.02
ITC,2007-05-10,2007-05-11,LONG,46.95,46.5,-0.96
SBIN,2007-05-11,2007-05-18,LONG,108.78,125.23,15.12
RELIANCE,2007-05-11,2007-05-14,LONG,189.35,193.05,1.95
UNITDSPR,2007-05-11,2007-05-14,LONG,174.21,171.88,-1.34
HDFCBANK,2007-05-14,2007-05-15,LONG,49.8,50.6,1.61
RELIANCE,2007-05-15,2007-05-16,LONG,190.5,194.8,2.26
TITAN,2007-05-16,2007-05-17,LONG,52.94,53.18,0.45
HDFCBANK,2007-05-16,2007-05-22,LONG,51.8,55.8,7.72
UNITDSPR,2007-05-16,2007-05-24,LONG,179.37,229.06,27.7
TATASTEEL,2007-05-17,2007-05-18,LONG,48.13,47.54,-1.23
NTPC,2007-05-17,2007-05-18,LONG,121.68,119.31,-1.95
FINNIFTY,2007-05-18,2007-06-07,LONG,2594.85,2610.02,0.58
TITAN,2007-05-18,2007-05-22,LONG,55.8,56.07,0.48
BANKNIFTY,2007-05-18,2007-06-07,LONG,6290.8,6236.45,-0.86
LT,2007-05-22,2007-05-23,LONG,385.29,383.08,-0.57
RELIANCE,2007-05-22,2007-05-23,LONG,212.0,209.25,-1.3
TATASTEEL,2007-05-23,2007-05-24,LONG,53.45,51.06,-4.47
NTPC,2007-05-24,2007-05-28,LONG,124.33,124.48,0.12
TITAN,2007-05-25,2007-05-28,LONG,53.66,53.27,-0.73
LT,2007-05-25,2007-06-01,LONG,386.41,444.43,15.02
MRF,2007-05-28,2007-06-04,LONG,3952.15,4153.5,5.09
ONGC,2007-05-30,2007-06-01,LONG,140.85,140.5,-0.25
ITC,2007-05-31,2007-06-01,LONG,46.95,46.15,-1.7
HINDUNILVR,2007-05-31,2007-06-01,LONG,203.4,201.55,-0.91
MARUTI,2007-05-31,2007-06-01,LONG,817.1,811.25,-0.72
HINDUNILVR,2007-06-04,2007-06-05,LONG,196.2,195.8,-0.2
SBIN,2007-06-04,2007-06-05,LONG,132.68,135.52,2.14
TITAN,2007-06-13,2007-06-15,LONG,53.69,56.32,4.9
LT,2007-06-14,2007-06-15,LONG,427.58,432.82,1.23
ICICIBANK,2007-06-19,2007-06-25,LONG,171.85,173.2,0.79
TITAN,2007-06-20,2007-06-22,LONG,59.97,58.72,-2.08
LT,2007-06-21,2007-06-22,LONG,467.88,468.33,0.1
SBIN,2007-06-21,2007-06-25,LONG,136.47,136.77,0.22
ONGC,2007-06-25,2007-06-27,LONG,141.4,142.1,0.5
TITAN,2007-06-26,2007-06-29,LONG,63.95,67.08,4.89
MRF,2007-06-28,2007-06-29,LONG,4075.85,4037.2,-0.95
ONGC,2007-06-28,2007-06-29,LONG,139.75,139.65,-0.07
RELIANCE,2007-06-28,2007-06-29,LONG,201.6,202.6,0.5
SBIN,2007-06-28,2007-07-02,LONG,138.79,144.41,4.05
HDFCBANK,2007-06-28,2007-07-02,LONG,54.9,57.4,4.55
UNITDSPR,2007-06-28,2007-07-02,LONG,245.66,250.94,2.15
ICICIBANK,2007-06-29,2007-07-02,LONG,173.72,172.76,-0.55
FINNIFTY,2007-07-02,2007-07-13,LONG,2839.49,2907.38,2.39
ICICIBANK,2007-07-03,2007-07-10,LONG,175.76,175.26,-0.28
SBIN,2007-07-03,2007-07-04,LONG,149.23,147.54,-1.13
BANKNIFTY,2007-07-03,2007-07-16,LONG,6857.1,7101.3,3.56
TATASTEEL,2007-07-04,2007-07-06,LONG,49.69,50.33,1.29
MRF,2007-07-05,2007-07-06,LONG,4094.6,4082.1,-0.31
NIFTY,2007-07-06,2007-08-01,LONG,4384.85,4345.85,-0.89
HINDUNILVR,2007-07-06,2007-07-13,LONG,201.15,202.45,0.65
HDFCBANK,2007-07-10,2007-07-11,LONG,57.5,57.4,-0.17
TATASTEEL,2007-07-11,2007-07-12,LONG,53.11,54.53,2.67
MARUTI,2007-07-12,2007-07-17,LONG,828.35,824.85,-0.42
MRF,2007-07-13,2007-07-18,LONG,4123.85,4165.7,1.01
TATASTEEL,2007-07-13,2007-07-17,LONG,56.58,55.31,-2.24
RELIANCE,2007-07-13,2007-07-16,LONG,211.25,211.7,0.21
LT,2007-07-13,2007-07-16,LONG,533.25,536.75,0.66
