Symbol,Type,Direction,Entry Date,Entry,SL,Target,Exit Date,Exit,Result,PnL,Win,Trade Number,Equity,Side
BANKNIFTY,index,SHORT,"Date             2007-02-28
Date    2007-02-28 00:00:00
Name: 27, dtype: object",5294.7,5900.853681826532,4082.3926363469354,"Date             2007-04-25
Date    2007-04-25 00:00:00
Name: 65, dtype: object",5900.853681826532,SL,-57241.55115743406,False,1,-57241.55115743406,SHORT
BANKNIFTY,index,LONG,"Date             2007-07-04
Date    2007-07-04 00:00:00
Name: 113, dtype: object",6917.35,6326.106446616302,8099.837106767398,"Date             2007-08-16
Date    2007-08-16 00:00:00
Name: 143, dtype: object",6326.106446616302,SL,-42736.27569688528,False,2,-99977.82685431934,LONG
BANKNIFTY,index,SHORT,"Date             2007-08-27
Date    2007-08-27 00:00:00
Name: 150, dtype: object",6278.5,6586.163890445447,5663.172219109107,"Date             2007-08-30
Date    2007-08-30 00:00:00
Name: 153, dtype: object",6586.163890445447,SL,-24501.384920398716,False,3,-124479.21177471806,SHORT
BANKNIFTY,index,LONG,"Date             2007-09-28
Date    2007-09-28 00:00:00
Name: 174, dtype: object",7838.25,7023.664640776075,9467.42071844785,"Date             2007-11-02
Date    2007-11-02 00:00:00
Name: 198, dtype: object",9467.42071844785,TARGET,103924.39118730898,True,4,-20554.820587409078,LONG
BANKNIFTY,index,LONG,"Date             2007-11-05
Date    2007-11-05 00:00:00
Name: 199, dtype: object",9549.79,8103.192338917929,12442.985322164144,"Date             2008-01-22
Date    2008-01-22 00:00:00
Name: 253, dtype: object",8103.192338917929,SL,-75739.76292054963,False,5,-96294.58350795871,LONG
BANKNIFTY,index,SHORT,"Date             2008-01-25
Date    2008-01-25 00:00:00
Name: 256, dtype: object",9170.35,9710.005725294985,8091.038549410032,"Date             2008-01-28
Date    2008-01-28 00:00:00
Name: 257, dtype: object",9710.005725294985,SL,-29423.943758688827,False,6,-125718.52726664754,SHORT
BANKNIFTY,index,SHORT,"Date             2008-02-13
Date    2008-02-13 00:00:00
Name: 269, dtype: object",8598.25,9408.251025875621,6978.247948248758,"Date             2008-02-18
Date    2008-02-18 00:00:00
Name: 272, dtype: object",9408.251025875621,SL,-47102.66774492607,False,7,-172821.1950115736,SHORT
BANKNIFTY,index,SHORT,"Date             2008-03-04
Date    2008-03-04 00:00:00
Name: 283, dtype: object",8032.95,9073.95787029665,5950.934259406699,"Date             2008-06-09
Date    2008-06-09 00:00:00
Name: 345, dtype: object",5950.934259406699,TARGET,129592.22580703856,True,8,-43228.96920453505,SHORT
BANKNIFTY,index,SHORT,"Date             2008-06-10
Date    2008-06-10 00:00:00
Name: 346, dtype: object",5910.3,6909.18737497298,3912.52525005404,"Date             2008-10-27
Date    2008-10-27 00:00:00
Name: 441, dtype: object",3912.52525005404,TARGET,169007.89722568737,True,9,125778.92802115231,SHORT
BANKNIFTY,index,SHORT,"Date             2008-10-28
Date    2008-10-28 00:00:00
Name: 442, dtype: object",4346.75,5476.108272626245,2088.0334547475104,"Date             2009-05-04
Date    2009-05-04 00:00:00
Name: 552, dtype: object",5476.108272626245,SL,-129908.35366955136,False,10,-4129.425648399047,SHORT
BANKNIFTY,index,LONG,"Date             2009-05-05
Date    2009-05-05 00:00:00
Name: 553, dtype: object",5540.6,4637.346178082766,7347.10764383447,"Date             2009-05-19
Date    2009-05-19 00:00:00
Name: 563, dtype: object",7347.10764383447,TARGET,163024.5500337932,True,11,158895.12438539416,LONG
