BANKNIFTY | SHORT | Entry: 5294.7 | Exit: 5900.85 | PnL: -57241.55 | SL
BANKNIFTY | LONG | Entry: 6917.35 | Exit: 6326.11 | PnL: -42736.28 | SL
BANKNIFTY | SHORT | Entry: 6278.5 | Exit: 6586.16 | PnL: -24501.38 | SL
BANKNIFTY | LONG | Entry: 7838.25 | Exit: 9467.42 | PnL: 103924.39 | TARGET
BANKNIFTY | LONG | Entry: 9549.79 | Exit: 8103.19 | PnL: -75739.76 | SL
BANKNIFTY | SHORT | Entry: 9170.35 | Exit: 9710.01 | PnL: -29423.94 | SL
BANKNIFTY | SHORT | Entry: 8598.25 | Exit: 9408.25 | PnL: -47102.67 | SL
BANKNIFTY | SHORT | Entry: 8032.95 | Exit: 5950.93 | PnL: 129592.23 | TARGET
BANKNIFTY | SHORT | Entry: 5910.3 | Exit: 3912.53 | PnL: 169007.9 | TARGET
BANKNIFTY | SHORT | Entry: 4346.75 | Exit: 5476.11 | PnL: -129908.35 | SL
BANKNIFTY | LONG | Entry: 5540.6 | Exit: 7347.11 | PnL: 163024.55 | TARGET
BANKNIFTY | LONG | Entry: 7168.75 | Exit: 11053.46 | PnL: 270947.6 | TARGET
BANKNIFTY | LONG | Entry: 11058.55 | Exit: 12614.93 | PnL: 70369.96 | TARGET
BANKNIFTY | LONG | Entry: 12638.85 | Exit: 11665.72 | PnL: -38497.52 | SL
BANKNIFTY | SHORT | Entry: 11703.25 | Exit: 12374.52 | PnL: -28678.77 | SL
BANKNIFTY | SHORT | Entry: 11646.0 | Exit: 10433.57 | PnL: 52053.7 | TARGET
BANKNIFTY | SHORT | Entry: 10459.6 | Exit: 11435.49 | PnL: -46650.25 | SL
BANKNIFTY | LONG | Entry: 11724.75 | Exit: 11174.24 | PnL: -23476.57 | SL
BANKNIFTY | SHORT | Entry: 10751.3 | Exit: 11367.06 | PnL: -28636.4 | SL
BANKNIFTY | SHORT | Entry: 9987.6 | Exit: 8568.37 | PnL: 71049.83 | TARGET
BANKNIFTY | SHORT | Entry: 8438.2 | Exit: 9284.53 | PnL: -50148.77 | SL
BANKNIFTY | LONG | Entry: 9741.25 | Exit: 11319.12 | PnL: 80988.98 | TARGET
BANKNIFTY | LONG | Entry: 11359.3 | Exit: 10402.8 | PnL: -42102.12 | SL
BANKNIFTY | LONG | Entry: 11530.65 | Exit: 12912.51 | PnL: 59921.13 | TARGET
BANKNIFTY | SHORT | Entry: 11533.05 | Exit: 12287.71 | PnL: -32717.24 | SL
BANKNIFTY | LONG | Entry: 12601.05 | Exit: 11681.93 | PnL: -36469.9 | SL
BANKNIFTY | SHORT | Entry: 11677.35 | Exit: 10479.5 | PnL: 51289.34 | TARGET
BANKNIFTY | SHORT | Entry: 10451.85 | Exit: 8547.47 | PnL: 91102.72 | TARGET
BANKNIFTY | SHORT | Entry: 8897.0 | Exit: 10059.54 | PnL: -65333.04 | SL
BANKNIFTY | LONG | Entry: 10984.5 | Exit: 9948.87 | PnL: -47140.68 | SL
BANKNIFTY | LONG | Entry: 11510.4 | Exit: 10711.88 | PnL: -34686.94 | SL
